valid_time,pressure_level,u,v,t,r
2025-07-24 09:00:00,1000,-1.567626,-1.3638716,293.7827,46.86496
2025-07-24 09:00:00,925,-1.4273758,-1.3167601,289.4348,46.65782
2025-07-24 09:00:00,850,-2.835085,-2.477273,283.84106,58.348526
2025-07-24 09:00:00,700,-0.23159319,-8.923566,278.19946,19.924622
2025-07-24 09:00:00,500,9.333147,-17.364471,261.34375,67.92311
2025-07-24 10:00:00,1000,-1.8002825,-1.5526838,294.6704,42.40712
2025-07-24 10:00:00,925,-1.7376051,-1.5253792,290.3164,41.966156
2025-07-24 10:00:00,850,-3.0167809,-2.6623125,284.5786,54.48065
2025-07-24 10:00:00,700,-0.6322462,-8.575199,277.9834,20.40358
2025-07-24 10:00:00,500,10.815693,-16.393478,261.47656,52.488983
2025-07-24 11:00:00,1000,-2.0108309,-1.5957441,296.15942,38.94725
2025-07-24 11:00:00,925,-1.9553108,-1.5862865,291.77222,38.99669
2025-07-24 11:00:00,850,-3.2369556,-2.6381083,286.06323,49.561127
2025-07-24 11:00:00,700,-1.000843,-7.7428446,278.1892,18.775589
2025-07-24 11:00:00,500,7.505965,-15.888055,261.5642,22.70671
2025-07-24 12:00:00,1000,-2.0326147,-1.722887,297.5913,36.128708
2025-07-24 12:00:00,925,-1.9947186,-1.7203789,293.1787,36.272034
2025-07-24 12:00:00,850,-3.3135347,-2.808751,287.4292,45.97963
2025-07-24 12:00:00,700,-1.2590809,-7.073807,278.02612,18.206894
2025-07-24 12:00:00,500,4.007043,-14.824458,262.72827,6.33996
2025-07-24 13:00:00,1000,-1.980978,-1.7692642,298.781,33.78322
2025-07-24 13:00:00,925,-1.96383,-1.7590408,294.3745,33.91983
2025-07-24 13:00:00,850,-3.203023,-2.8371572,288.6255,42.301773
2025-07-24 13:00:00,700,-1.3136635,-6.0922575,277.10815,23.020386
2025-07-24 13:00:00,500,2.368454,-15.2821,262.78247,11.105448
2025-07-24 14:00:00,1000,-1.9903288,-1.975893,299.72095,31.808426
2025-07-24 14:00:00,925,-1.9655304,-1.9655542,295.29785,31.819107
2025-07-24 14:00:00,850,-3.248948,-3.1200047,289.58594,38.7034
2025-07-24 14:00:00,700,-1.8900156,-4.0379677,275.0166,60.277405
2025-07-24 14:00:00,500,1.7771711,-14.574929,262.16675,15.275109
2025-07-24 15:00:00,1000,-2.1216154,-2.2554274,300.3623,30.291687
2025-07-24 15:00:00,925,-2.1001072,-2.2521763,295.94092,30.241425
2025-07-24 15:00:00,850,-3.5124369,-3.4953165,290.2234,36.638916
2025-07-24 15:00:00,700,-2.5027628,-2.7667131,274.69263,77.53621
2025-07-24 15:00:00,500,1.2251339,-14.393079,261.95117,13.640294
2025-07-24 16:00:00,1000,-2.3875303,-2.5200071,300.3877,30.708542
2025-07-24 16:00:00,925,-2.3590164,-2.5141459,295.9663,30.603638
2025-07-24 16:00:00,850,-4.015254,-3.9682217,290.29297,37.164413
2025-07-24 16:00:00,700,-2.0218725,-1.6496897,275.10864,75.154175
2025-07-24 16:00:00,500,0.2521636,-15.267439,262.13818,10.576071
2025-07-24 17:00:00,1000,-2.648839,-2.6654558,299.83252,33.66194
2025-07-24 17:00:00,925,-2.5826836,-2.656022,295.42383,33.5477
2025-07-24 17:00:00,850,-4.5217133,-4.4612722,289.77832,41.324753
2025-07-24 17:00:00,700,0.11616284,-1.4948931,276.44775,52.238144
2025-07-24 17:00:00,500,-1.0091095,-16.091583,262.31372,9.533045
2025-07-24 18:00:00,1000,-2.9387598,-2.7139378,298.66284,38.936523
2025-07-24 18:00:00,925,-2.849945,-2.6661558,294.27515,38.694656
2025-07-24 18:00:00,850,-5.5593624,-5.0273676,288.61157,48.389175
2025-07-24 18:00:00,700,1.119504,-4.056649,277.5835,29.668884
2025-07-24 18:00:00,500,-1.787507,-16.84024,262.5464,9.408185
2025-07-24 19:00:00,1000,-2.8388977,-2.2485352,297.2749,44.340424
2025-07-24 19:00:00,925,-2.6537437,-2.163249,292.90063,44.2789
2025-07-24 19:00:00,850,-6.3918304,-4.69989,287.35132,53.888702
2025-07-24 19:00:00,700,-0.29329652,-6.565921,277.875,22.757858
2025-07-24 19:00:00,500,-2.5060263,-18.056396,262.89648,8.866592
2025-07-24 20:00:00,1000,-2.4314938,-1.5602274,296.0642,48.835953
2025-07-24 20:00:00,925,-2.2020702,-1.4932089,291.70215,48.750443
2025-07-24 20:00:00,850,-6.240383,-3.8715754,286.19238,59.060806
2025-07-24 20:00:00,700,-2.93816,-7.9185,277.9497,23.074783
2025-07-24 20:00:00,500,-3.527852,-18.65799,263.0625,8.0894785
2025-07-24 21:00:00,1000,-2.1901016,-1.1136503,295.05127,52.586243
2025-07-24 21:00:00,925,-1.9036989,-1.0013227,290.69727,52.62123
2025-07-24 21:00:00,850,-5.357443,-2.696044,285.2351,63.12039
2025-07-24 21:00:00,700,-4.796754,-8.090948,278.23853,24.835922
2025-07-24 21:00:00,500,-4.119771,-18.701874,263.1306,7.8717346
2025-07-24 22:00:00,1000,-2.3542175,-0.6500632,294.04883,54.363388
2025-07-24 22:00:00,925,-2.0469227,-0.6201984,289.6748,54.62503
2025-07-24 22:00:00,850,-6.1130323,-1.7186098,284.27148,64.83748
2025-07-24 22:00:00,700,-3.8440742,-7.825552,278.57568,20.799591
2025-07-24 22:00:00,500,-4.6301994,-19.177505,263.49854,8.473085
2025-07-24 23:00:00,1000,-2.2289848,-0.30024368,293.35693,57.90796
2025-07-24 23:00:00,925,-1.9457655,-0.27944452,288.9873,58.539124
2025-07-24 23:00:00,850,-6.1987286,-0.8549469,283.65698,67.64409
2025-07-24 23:00:00,700,-4.2147207,-8.281597,278.81177,18.433853
2025-07-24 23:00:00,500,-4.7899246,-19.104568,263.8081,13.217234
2025-07-25 00:00:00,1000,-2.1414137,-0.11480647,292.73047,61.30197
2025-07-25 00:00:00,925,-1.9052391,-0.065754294,288.3806,61.94615
2025-07-25 00:00:00,850,-6.2238073,-0.15963519,283.02393,72.30083
2025-07-25 00:00:00,700,-4.909937,-7.8670626,278.8418,17.25589
2025-07-25 00:00:00,500,-4.790286,-18.797058,263.9973,17.972977
2025-07-25 01:00:00,1000,-1.7383366,-0.10149878,292.21167,64.44847
2025-07-25 01:00:00,925,-1.4992218,-0.03420994,287.88452,64.97186
